PathwayID	topGO
GO:0060670	GO:0032502
GO:0060670	GO:0032501
GO:0060706	GO:0022414
GO:0060706	GO:0032502
GO:0060706	GO:0009987
GO:0060736	GO:0022414
GO:0060736	GO:0032502
GO:0060736	GO:0032501
GO:0060736	GO:0040007
GO:0060742	GO:0022414
GO:0060742	GO:0032502
GO:0060742	GO:0009987
GO:0060749	GO:0032502
GO:0060900	GO:0032502
GO:0061000	GO:0065007
GO:0061029	GO:0032502
GO:0061037	GO:0065007
GO:0061303	GO:0032502
GO:0061323	GO:0009987
GO:0061339	GO:0009987
GO:0061635	GO:0065007
GO:0061744	GO:0032501
GO:0070254	GO:0051179
GO:0070254	GO:0065007
GO:0070254	GO:0032501
GO:0070314	GO:0009987
GO:0070341	GO:0009987
GO:0070572	GO:0065007
GO:0070989	GO:0008152
GO:0071696	GO:0032502
GO:0072111	GO:0009987
GO:0072530	GO:0051179
GO:0072530	GO:0009987
GO:0072531	GO:0051179
GO:0072531	GO:0009987
GO:0072537	GO:0009987
GO:0072537	GO:0032501
GO:0080154	GO:0065007
GO:0090141	GO:0065007
GO:0090184	GO:0065007
GO:0090399	GO:0008152
GO:0090399	GO:0009987
GO:0090520	GO:0009987
GO:0090520	GO:0065007
GO:0097094	GO:0032502
GO:0097150	GO:0032501
GO:0097150	GO:0032502
GO:0097278	GO:0009987
GO:0097709	GO:0032501
GO:0098901	GO:0065007
GO:0099623	GO:0065007
GO:1900006	GO:0065007
GO:1900117	GO:0065007
GO:1900221	GO:0065007
GO:1901030	GO:0065007
GO:1901030	GO:0009987
GO:1901862	GO:0065007
GO:1902074	GO:0050896
GO:1902459	GO:0065007
GO:1902683	GO:0065007
GO:1903779	GO:0065007
GO:1903867	GO:0032502
GO:1903901	GO:0065007
GO:1903902	GO:0065007
GO:1905208	GO:0065007
GO:1905939	GO:0065007
GO:2000833	GO:0065007
GO:0000305	GO:0050896
GO:0001696	GO:0032501
GO:0001696	GO:0051179
GO:0001767	GO:0009987
GO:0001771	GO:0009987
GO:0001829	GO:0009987
GO:0001829	GO:0032502
GO:0001867	GO:0002376
GO:0001867	GO:0065007
GO:0001867	GO:0050896
GO:0001867	GO:0044419
GO:0001958	GO:0032501
GO:0001967	GO:0032501
GO:0001976	GO:0032501
GO:0002070	GO:0009987
GO:0002070	GO:0032502
GO:0002076	GO:0032502
GO:0002076	GO:0009987
GO:0002183	GO:0008152
GO:0002183	GO:0009987
GO:0002227	GO:0002376
GO:0002227	GO:0050896
GO:0002227	GO:0044419
GO:0002357	GO:0050896
GO:0002423	GO:0002376
GO:0002423	GO:0050896
GO:0002423	GO:0044419
GO:0002474	GO:0002376
GO:0002638	GO:0065007
GO:0002689	GO:0065007
GO:0002693	GO:0065007
GO:0002759	GO:0065007
GO:0002765	GO:0009987
GO:0002765	GO:0065007
GO:0002863	GO:0065007
GO:0003071	GO:0032501
GO:0003091	GO:0032501
GO:0003091	GO:0065007
GO:0003091	GO:0042592
GO:0003096	GO:0032501
GO:0003096	GO:0051179
GO:0003156	GO:0065007
GO:0003283	GO:0032502
GO:0003401	GO:0040007
GO:0005513	GO:0050896
GO:0006002	GO:0008152
GO:0006002	GO:0009987
GO:0006020	GO:0008152
GO:0006047	GO:0008152
GO:0006047	GO:0009987
GO:0006054	GO:0008152
GO:0006054	GO:0009987
GO:0006089	GO:0008152
GO:0006089	GO:0009987
GO:0006490	GO:0008152
GO:0006490	GO:0009987
GO:0006521	GO:0065007
GO:0006547	GO:0008152
GO:0006547	GO:0009987
GO:0006577	GO:0008152
GO:0006577	GO:0009987
GO:0006658	GO:0008152
GO:0006658	GO:0009987
GO:0006702	GO:0008152
GO:0006702	GO:0065007
GO:0006703	GO:0008152
GO:0006703	GO:0065007
GO:0006760	GO:0008152
GO:0006760	GO:0009987
GO:0006783	GO:0008152
GO:0006783	GO:0009987
GO:0006851	GO:0051179
GO:0006851	GO:0009987
GO:0006957	GO:0002376
GO:0006957	GO:0065007
GO:0006957	GO:0050896
GO:0006957	GO:0044419
GO:0006971	GO:0050896
GO:0006972	GO:0050896
GO:0006983	GO:0009987
GO:0006983	GO:0065007
GO:0006983	GO:0050896
GO:0007063	GO:0065007
GO:0007064	GO:0009987
GO:0007135	GO:0009987
GO:0007135	GO:0022414
GO:0007191	GO:0009987
GO:0007191	GO:0065007
GO:0007216	GO:0009987
GO:0007216	GO:0065007
GO:0007350	GO:0032501
GO:0007398	GO:0032502
GO:0007603	GO:0009987
GO:0007603	GO:0065007
GO:0007603	GO:0050896
GO:0008209	GO:0008152
GO:0008209	GO:0065007
GO:0008343	GO:0032501
GO:0009081	GO:0008152
GO:0009081	GO:0009987
GO:0009110	GO:0008152
GO:0009110	GO:0009987
GO:0009111	GO:0008152
GO:0009111	GO:0009987
GO:0009950	GO:0032501
GO:0010172	GO:0032502
GO:0010454	GO:0065007
GO:0010459	GO:0065007
GO:0010460	GO:0065007
GO:0010470	GO:0065007
GO:0010544	GO:0065007
GO:0010575	GO:0065007
GO:0010612	GO:0065007
GO:0010635	GO:0065007
GO:0010640	GO:0065007
GO:0010649	GO:0065007
GO:0010744	GO:0065007
GO:0010745	GO:0065007
GO:0010766	GO:0065007
GO:0010826	GO:0065007
GO:0010829	GO:0065007
GO:0010878	GO:0051179
GO:0016081	GO:0009987
GO:0016081	GO:0051179
GO:0016226	GO:0009987
GO:0018342	GO:0008152
GO:0018342	GO:0009987
GO:0019321	GO:0008152
GO:0019400	GO:0008152
GO:0020027	GO:0008152
GO:0021534	GO:0009987
GO:0021846	GO:0009987
GO:0021871	GO:0032501
GO:0021889	GO:0009987
GO:0021889	GO:0032502
GO:0021979	GO:0009987
GO:0021979	GO:0032502
GO:0023035	GO:0009987
GO:0023035	GO:0065007
GO:0023058	GO:0065007
GO:0030150	GO:0051179
GO:0030150	GO:0009987
GO:0030202	GO:0008152
GO:0030202	GO:0009987
GO:0030277	GO:0032501
GO:0030277	GO:0042592
GO:0030318	GO:0009987
GO:0030318	GO:0032502
GO:0030388	GO:0008152
GO:0030388	GO:0009987
GO:0030449	GO:0065007
GO:0030539	GO:0032502
GO:0030539	GO:0022414
GO:0030540	GO:0032502
GO:0030540	GO:0022414
GO:0030656	GO:0065007
GO:0030730	GO:0051179
GO:0030948	GO:0065007
GO:0030949	GO:0065007
GO:0030953	GO:0009987
GO:0031649	GO:0032501
GO:0031649	GO:0042592
GO:0031943	GO:0065007
GO:0032069	GO:0065007
GO:0032239	GO:0065007
GO:0032252	GO:0051179
GO:0032332	GO:0065007
GO:0032490	GO:0050896
GO:0032494	GO:0050896
GO:0032525	GO:0032501
GO:0032700	GO:0065007
GO:0032703	GO:0065007
GO:0032780	GO:0065007
GO:0032905	GO:0008152
GO:0032905	GO:0009987
GO:0032905	GO:0032501
GO:0033005	GO:0065007
GO:0033145	GO:0065007
GO:0033151	GO:0002376
GO:0033151	GO:0008152
GO:0033151	GO:0009987
GO:0033194	GO:0050896
GO:0033197	GO:0050896
GO:0033212	GO:0051179
GO:0033212	GO:0042592
GO:0033262	GO:0065007
GO:0033605	GO:0065007
GO:0033629	GO:0065007
GO:0033631	GO:0009987
GO:0033689	GO:0065007
GO:0033690	GO:0065007
GO:0034379	GO:0009987
GO:0034379	GO:0032501
GO:0034397	GO:0051179
GO:0034453	GO:0009987
GO:0034616	GO:0050896
GO:0035268	GO:0008152
GO:0035357	GO:0009987
GO:0035357	GO:0065007
GO:0035459	GO:0051179
GO:0035561	GO:0065007
GO:0035630	GO:0032502
GO:0035721	GO:0009987
GO:0035721	GO:0051179
GO:0035809	GO:0032501
GO:0035809	GO:0065007
GO:0035845	GO:0009987
GO:0035872	GO:0002376
GO:0035872	GO:0065007
GO:0035872	GO:0009987
GO:0035929	GO:0051179
GO:0035929	GO:0065007
GO:0035929	GO:0009987
GO:0035994	GO:0050896
GO:0035999	GO:0008152
GO:0035999	GO:0009987
GO:0036109	GO:0008152
GO:0036109	GO:0009987
GO:0036376	GO:0051179
GO:0036376	GO:0009987
GO:0036498	GO:0009987
GO:0036498	GO:0065007
GO:0036498	GO:0050896
GO:0038007	GO:0009987
GO:0038007	GO:0065007
GO:0038065	GO:0009987
GO:0038065	GO:0065007
GO:0038166	GO:0009987
GO:0038166	GO:0065007
GO:0040037	GO:0065007
GO:0042117	GO:0009987
GO:0042117	GO:0032501
GO:0042117	GO:0002376
GO:0042182	GO:0008152
GO:0042182	GO:0009987
GO:0042339	GO:0008152
GO:0042339	GO:0009987
GO:0042359	GO:0008152
GO:0042474	GO:0032502
GO:0042537	GO:0008152
GO:0042537	GO:0009987
GO:0042574	GO:0008152
GO:0042574	GO:0009987
GO:0042693	GO:0009987
GO:0042693	GO:0032502
GO:0042756	GO:0032501
GO:0042762	GO:0065007
GO:0042989	GO:0009987
GO:0042989	GO:0065007
GO:0042989	GO:0051179
GO:0043032	GO:0065007
GO:0043101	GO:0008152
GO:0043101	GO:0009987
GO:0043116	GO:0032501
GO:0043116	GO:0065007
GO:0043117	GO:0032501
GO:0043117	GO:0065007
GO:0043153	GO:0050896
GO:0043153	GO:0065007
GO:0043171	GO:0008152
GO:0043171	GO:0009987
GO:0043173	GO:0008152
GO:0043173	GO:0009987
GO:0043320	GO:0002376
GO:0043320	GO:0051179
GO:0043320	GO:0009987
GO:0043501	GO:0032501
GO:0043501	GO:0050896
GO:0043518	GO:0065007
GO:0043555	GO:0065007
GO:0043567	GO:0065007
GO:0043574	GO:0051179
GO:0043574	GO:0009987
GO:0043589	GO:0032502
GO:0043651	GO:0008152
GO:0043651	GO:0009987
GO:0044321	GO:0050896
GO:0044331	GO:0009987
GO:0044342	GO:0009987
GO:0044406	GO:0044419
GO:0044804	GO:0008152
GO:0044804	GO:0009987
GO:0045064	GO:0009987
GO:0045064	GO:0032501
GO:0045064	GO:0002376
GO:0045064	GO:0032502
GO:0045472	GO:0050896
GO:0045475	GO:0032501
GO:0045475	GO:0048511
GO:0045605	GO:0065007
GO:0045606	GO:0065007
GO:0045663	GO:0065007
GO:0045721	GO:0065007
GO:0045737	GO:0065007
GO:0045821	GO:0065007
GO:0045838	GO:0065007
GO:0045922	GO:0065007
GO:0045947	GO:0065007
GO:0045980	GO:0065007
GO:0045989	GO:0065007
GO:0046184	GO:0008152
GO:0046184	GO:0009987
GO:0046185	GO:0008152
GO:0046185	GO:0009987
GO:0046415	GO:0008152
GO:0046415	GO:0009987
GO:0046599	GO:0065007
GO:0046823	GO:0065007
GO:0046835	GO:0008152
GO:0046835	GO:0009987
GO:0047484	GO:0065007
GO:0048102	GO:0009987
GO:0048103	GO:0009987
GO:0048143	GO:0009987
GO:0048143	GO:0032501
GO:0048148	GO:0032501
GO:0048311	GO:0009987
GO:0048311	GO:0051179
GO:0048385	GO:0065007
GO:0048484	GO:0032502
GO:0048485	GO:0032502
GO:0048486	GO:0032502
GO:0048535	GO:0032502
GO:0048641	GO:0065007
GO:0048668	GO:0009987
GO:0048668	GO:0040007
GO:0048672	GO:0065007
GO:0048703	GO:0032502
GO:0048820	GO:0032501
GO:0048820	GO:0032502
GO:0048843	GO:0065007
GO:0050665	GO:0008152
GO:0050665	GO:0009987
GO:0050746	GO:0065007
GO:0050910	GO:0032501
GO:0050910	GO:0050896
GO:0050926	GO:0065007
GO:0050995	GO:0065007
GO:0051013	GO:0009987
GO:0051095	GO:0065007
GO:0051156	GO:0008152
GO:0051156	GO:0009987
GO:0051220	GO:0051179
GO:0051315	GO:0009987
GO:0051340	GO:0065007
