"ensembl_gene_id"	"external_gene_name"
"140"	"ENSG00000034053"	"APBA2"
"141"	"ENSG00000034239"	"CLXN"
"142"	"ENSG00000034533"	"ASTE1"
"143"	"ENSG00000035499"	"DEPDC1B"
"144"	"ENSG00000035664"	"DAPK2"
"145"	"ENSG00000035687"	"ADSS2"
"146"	"ENSG00000036257"	"CUL3"
"147"	"ENSG00000036530"	"CYP46A1"
"148"	"ENSG00000036828"	"CASR"
"149"	"ENSG00000038002"	"AGA"
"150"	"ENSG00000038219"	"BOD1L1"
"151"	"ENSG00000038358"	"EDC4"
"152"	"ENSG00000038532"	"CLEC16A"
"153"	"ENSG00000039068"	"CDH1"
"154"	"ENSG00000039139"	"DNAH5"
"155"	"ENSG00000039537"	"C6"
"156"	"ENSG00000039987"	"BEST2"
"157"	"ENSG00000040531"	"CTNS"
"158"	"ENSG00000040731"	"CDH10"
"159"	"ENSG00000042286"	"AIFM2"
"160"	"ENSG00000042304"	"C2orf83"
"161"	"ENSG00000042493"	"CAPG"
"162"	"ENSG00000042753"	"AP2S1"
"163"	"ENSG00000042980"	"ADAM28"
"164"	"ENSG00000043039"	"BARX2"
"165"	"ENSG00000043093"	"DCUN1D1"
"166"	"ENSG00000043591"	"ADRB1"
"167"	"ENSG00000044090"	"CUL7"
"168"	"ENSG00000044115"	"CTNNA1"
"169"	"ENSG00000044459"	"CNTLN"
"170"	"ENSG00000046604"	"DSG2"
"171"	"ENSG00000047230"	"CTPS2"
"172"	"ENSG00000047249"	"ATP6V1H"
"173"	"ENSG00000047365"	"ARAP2"
"174"	"ENSG00000047457"	"CP"
"175"	"ENSG00000047579"	"DTNBP1"
"176"	"ENSG00000047617"	"ANO2"
"177"	"ENSG00000047621"	"C12orf4"
"178"	"ENSG00000047648"	"ARHGAP6"
"179"	"ENSG00000048342"	"CC2D2A"
"180"	"ENSG00000048740"	"CELF2"
"181"	"ENSG00000049089"	"COL9A2"
"182"	"ENSG00000049192"	"ADAMTS6"
"183"	"ENSG00000049540"	"ELN"
"184"	"ENSG00000049618"	"ARID1B"
"185"	"ENSG00000049656"	"CLPTM1L"
"186"	"ENSG00000050165"	"DKK3"
"187"	"ENSG00000050327"	"ARHGEF5"
"188"	"ENSG00000050767"	"COL23A1"
"189"	"ENSG00000050820"	"BCAR1"
"190"	"ENSG00000051523"	"CYBA"
"191"	"ENSG00000052850"	"ALX4"
"192"	"ENSG00000053371"	"AKR7A2"
"193"	"ENSG00000053770"	"AP5M1"
"194"	"ENSG00000053900"	"ANAPC4"
"195"	"ENSG00000054267"	"ARID4B"
"196"	"ENSG00000054793"	"ATP9A"
"197"	"ENSG00000054803"	"CBLN4"
"198"	"ENSG00000054938"	"CHRDL2"
"199"	"ENSG00000055130"	"CUL1"
"200"	"ENSG00000055163"	"CYFIP2"
"201"	"ENSG00000055332"	"EIF2AK2"
"202"	"ENSG00000055813"	"CCDC85A"
"203"	"ENSG00000057019"	"DCBLD2"
"204"	"ENSG00000057663"	"ATG5"
"205"	"ENSG00000058063"	"ATP11B"
"206"	"ENSG00000058091"	"CDK14"
"207"	"ENSG00000058404"	"CAMK2B"
"208"	"ENSG00000058453"	"CROCC"
"209"	"ENSG00000058668"	"ATP2B4"
"210"	"ENSG00000058866"	"DGKG"
"211"	"ENSG00000059573"	"ALDH18A1"
"212"	"ENSG00000059758"	"CDK17"
"213"	"ENSG00000059769"	"DNAJC25"
"214"	"ENSG00000060069"	"CTDP1"
"215"	"ENSG00000060339"	"CCAR1"
"216"	"ENSG00000060566"	"CREB3L3"
"217"	"ENSG00000060718"	"COL11A1"
"218"	"ENSG00000060971"	"ACAA1"
"219"	"ENSG00000060982"	"BCAT1"
"220"	"ENSG00000062038"	"CDH3"
"221"	"ENSG00000062282"	"DGAT2"
"222"	"ENSG00000062485"	"CS"
"223"	"ENSG00000062598"	"ELMO2"
"224"	"ENSG00000062725"	"APPBP2"
"225"	"ENSG00000063046"	"EIF4B"
"226"	"ENSG00000063169"	"BICRA"
"227"	"ENSG00000063180"	"CA11"
"228"	"ENSG00000063438"	"AHRR"
"229"	"ENSG00000063761"	"ADCK1"
"230"	"ENSG00000064012"	"CASP8"
"231"	"ENSG00000064195"	"DLX3"
"232"	"ENSG00000064205"	"CCN5"
"233"	"ENSG00000064218"	"DMRT3"
"234"	"ENSG00000064270"	"ATP2C2"
"235"	"ENSG00000064309"	"CDON"
"236"	"ENSG00000064601"	"CTSA"
"237"	"ENSG00000064666"	"CNN2"
"238"	"ENSG00000064687"	"ABCA7"
"239"	"ENSG00000064703"	"DDX20"
"240"	"ENSG00000064726"	"BTBD1"
"241"	"ENSG00000064787"	"BCAS1"
"242"	"ENSG00000064886"	"CHI3L2"
"243"	"ENSG00000064989"	"CALCRL"
"244"	"ENSG00000064999"	"ANKS1A"
"245"	"ENSG00000065000"	"AP3D1"
"246"	"ENSG00000065357"	"DGKA"
"247"	"ENSG00000065457"	"ADAT1"
"248"	"ENSG00000065615"	"CYB5R4"
"249"	"ENSG00000065618"	"COL17A1"
"250"	"ENSG00000065802"	"ASB1"
"251"	"ENSG00000065883"	"CDK13"
"252"	"ENSG00000066032"	"CTNNA2"
"253"	"ENSG00000066044"	"ELAVL1"
"254"	"ENSG00000066084"	"DIP2B"
"255"	"ENSG00000066279"	"ASPM"
"256"	"ENSG00000066294"	"CD84"
"257"	"ENSG00000066322"	"ELOVL1"
"258"	"ENSG00000066405"	"CLDN18"
"259"	"ENSG00000066427"	"ATXN3"
"260"	"ENSG00000066629"	"EML1"
"261"	"ENSG00000066739"	"ATG2B"
"262"	"ENSG00000066777"	"ARFGEF1"
"263"	"ENSG00000066813"	"ACSM2B"
"264"	"ENSG00000067048"	"DDX3Y"
"265"	"ENSG00000067191"	"CACNB1"
"266"	"ENSG00000067248"	"DHX29"
"267"	"ENSG00000067334"	"DNTTIP2"
"268"	"ENSG00000067596"	"DHX8"
"269"	"ENSG00000067842"	"ATP2B3"
"270"	"ENSG00000067955"	"CBFB"
"271"	"ENSG00000068120"	"COASY"
"272"	"ENSG00000068366"	"ACSL4"
"273"	"ENSG00000068650"	"ATP11A"
"274"	"ENSG00000069122"	"ADGRF5"
"275"	"ENSG00000069206"	"ADAM7"
"276"	"ENSG00000069345"	"DNAJA2"
"277"	"ENSG00000069399"	"BCL3"
"278"	"ENSG00000069431"	"ABCC9"
"279"	"ENSG00000069493"	"CLEC2D"
"280"	"ENSG00000069696"	"DRD4"
"281"	"ENSG00000069849"	"ATP1B3"
"282"	"ENSG00000070061"	"ELP1"
"283"	"ENSG00000070190"	"DAPP1"
"284"	"ENSG00000070371"	"CLTCL1"
"285"	"ENSG00000070413"	"DGCR2"
"286"	"ENSG00000070669"	"ASNS"
"287"	"ENSG00000070718"	"AP3M2"
"288"	"ENSG00000070729"	"CNGB1"
"289"	"ENSG00000070748"	"CHAT"
"290"	"ENSG00000070761"	"CFAP20"
"291"	"ENSG00000070770"	"CSNK2A2"
"292"	"ENSG00000070785"	"EIF2B3"
